branch	sha12	reason
task/iter-286-batch-c286-fix	581ac090edae	ledger-stale
task/iter-287-batch-c287	ecfba6e32237	ledger-stale
task/iter-288-batch-c288	91263ae0e115	ledger-stale
task/iter-289-batch-c289	f43e9a70b1ed	ledger-stale
task/iter-290-batch-c290	5459f469179b	ledger-stale
task/iter-291-batch-c291	6a9e8492b5f0	ledger-stale
task/iter-292-batch-c292	9b972c07ba93	ledger-stale
task/iter-293-batch-c293	a88bd7a76904	ledger-stale
task/iter-294-batch-c294	2716ee585809	ledger-stale
task/iter-295-batch-c295	0730a6a7f412	ledger-stale
task/iter-296-batch-c296-fix	3359d3ad3008	ledger-stale
task/iter-297-batch-c297	5f54934b9923	ledger-stale
task/iter-298-batch-c298-fix	bae2a99ffd06	ledger-stale
task/iter-299-batch-c299-fix	fcf6e095aa6b	ledger-stale
task/iter-300-batch-c300	dada2285b3be	ledger-stale
task/iter-301-batch-c301-fix	48bffcdf76f0	ledger-stale
task/iter-307-batch-c307-fix	72574ec92461	ledger-stale
task/iter-308-batch-c308	788f3f883d55	ledger-stale
task/iter-309-batch-c309	69005b26b539	ledger-stale
task/iter-backlog2-dual-d2	36b76803fd73	ledger-stale
task/iter-backlog2-dual-d2-dual	3dd3b0340314	ledger-stale
task/iter-mdcg-bigsrc-c1	d17ebd30042e	ledger-stale
task/iter-mdcg-c2	b6bd76cc2507	ledger-stale
task/iter-namecheck-c1	7c8bba870e5d	ledger-stale
